Postcode,State
0,BLANK
1,BLANK
2,BLANK
3,BLANK
4,BLANK
5,BLANK
6,BLANK
7,BLANK
8,BLANK
9,BLANK
10,BLANK
11,BLANK
12,BLANK
13,BLANK
14,BLANK
15,BLANK
16,BLANK
17,BLANK
18,BLANK
19,BLANK
20,BLANK
21,BLANK
22,BLANK
23,BLANK
24,BLANK
25,BLANK
26,BLANK
27,BLANK
28,BLANK
29,BLANK
30,BLANK
31,BLANK
32,BLANK
33,BLANK
34,BLANK
35,BLANK
36,BLANK
37,BLANK
38,BLANK
39,BLANK
40,BLANK
41,BLANK
42,BLANK
43,BLANK
44,BLANK
45,BLANK
46,BLANK
47,BLANK
48,BLANK
49,BLANK
50,BLANK
51,BLANK
52,BLANK
53,BLANK
54,BLANK
55,BLANK
56,BLANK
57,BLANK
58,BLANK
59,BLANK
60,BLANK
61,BLANK
62,BLANK
63,BLANK
64,BLANK
65,BLANK
66,BLANK
67,BLANK
68,BLANK
69,BLANK
70,BLANK
71,BLANK
72,BLANK
73,BLANK
74,BLANK
75,BLANK
76,BLANK
77,BLANK
78,BLANK
79,BLANK
80,BLANK
81,BLANK
82,BLANK
83,BLANK
84,BLANK
85,BLANK
86,BLANK
87,BLANK
88,BLANK
89,BLANK
90,BLANK
91,BLANK
92,BLANK
93,BLANK
94,BLANK
95,BLANK
96,BLANK
97,BLANK
98,BLANK
99,BLANK
100,BLANK
101,BLANK
102,BLANK
103,BLANK
104,BLANK
105,BLANK
106,BLANK
107,BLANK
108,BLANK
109,BLANK
110,BLANK
111,BLANK
112,BLANK
113,BLANK
114,BLANK
115,BLANK
116,BLANK
117,BLANK
118,BLANK
119,BLANK
120,BLANK
121,BLANK
122,BLANK
123,BLANK
124,BLANK
125,BLANK
126,BLANK
127,BLANK
128,BLANK
129,BLANK
130,BLANK
131,BLANK
132,BLANK
133,BLANK
134,BLANK
135,BLANK
136,BLANK
137,BLANK
138,BLANK
139,BLANK
140,BLANK
141,BLANK
142,BLANK
143,BLANK
144,BLANK
145,BLANK
146,BLANK
147,BLANK
148,BLANK
149,BLANK
150,BLANK
151,BLANK
152,BLANK
153,BLANK
154,BLANK
155,BLANK
156,BLANK
157,BLANK
158,BLANK
159,BLANK
160,BLANK
161,BLANK
162,BLANK
163,BLANK
164,BLANK
165,BLANK
166,BLANK
167,BLANK
168,BLANK
169,BLANK
170,BLANK
171,BLANK
172,BLANK
173,BLANK
174,BLANK
175,BLANK
176,BLANK
177,BLANK
178,BLANK
179,BLANK
180,BLANK
181,BLANK
182,BLANK
183,BLANK
184,BLANK
185,BLANK
186,BLANK
187,BLANK
188,BLANK
189,BLANK
190,BLANK
191,BLANK
192,BLANK
193,BLANK
194,BLANK
195,BLANK
196,BLANK
197,BLANK
198,BLANK
199,BLANK
200,ACT
201,ACT
202,ACT
203,ACT
204,ACT
205,ACT
206,ACT
207,ACT
208,ACT
209,ACT
210,ACT
211,ACT
212,ACT
213,ACT
214,ACT
215,ACT
216,ACT
217,ACT
218,ACT
219,ACT
220,ACT
221,ACT
222,ACT
223,ACT
224,ACT
225,ACT
226,ACT
227,ACT
228,ACT
229,ACT
230,ACT
231,ACT
232,ACT
233,ACT
234,ACT
235,ACT
236,ACT
237,ACT
238,ACT
239,ACT
240,ACT
241,ACT
242,ACT
243,ACT
244,ACT
245,ACT
246,ACT
247,ACT
248,ACT
249,ACT
250,ACT
251,ACT
252,ACT
253,ACT
254,ACT
255,ACT
256,ACT
257,ACT
258,ACT
259,ACT
260,ACT
261,ACT
262,ACT
263,ACT
264,ACT
265,ACT
266,ACT
267,ACT
268,ACT
269,ACT
270,ACT
271,ACT
272,ACT
273,ACT
274,ACT
275,ACT
276,ACT
277,ACT
278,ACT
279,ACT
280,ACT
281,ACT
282,ACT
283,ACT
284,ACT
285,ACT
286,ACT
287,ACT
288,ACT
289,ACT
290,ACT
291,ACT
292,ACT
293,ACT
294,ACT
295,ACT
296,ACT
297,ACT
298,ACT
299,ACT
300,BLANK
301,BLANK
302,BLANK
303,BLANK
304,BLANK
305,BLANK
306,BLANK
307,BLANK
308,BLANK
309,BLANK
310,BLANK
311,BLANK
312,BLANK
313,BLANK
314,BLANK
315,BLANK
316,BLANK
317,BLANK
318,BLANK
319,BLANK
320,BLANK
321,BLANK
322,BLANK
323,BLANK
324,BLANK
325,BLANK
326,BLANK
327,BLANK
328,BLANK
329,BLANK
330,BLANK
331,BLANK
332,BLANK
333,BLANK
334,BLANK
335,BLANK
336,BLANK
337,BLANK
338,BLANK
339,BLANK
340,BLANK
341,BLANK
342,BLANK
343,BLANK
344,BLANK
345,BLANK
346,BLANK
347,BLANK
348,BLANK
349,BLANK
350,BLANK
351,BLANK
352,BLANK
353,BLANK
354,BLANK
355,BLANK
356,BLANK
357,BLANK
358,BLANK
359,BLANK
360,BLANK
361,BLANK
362,BLANK
363,BLANK
364,BLANK
365,BLANK
366,BLANK
367,BLANK
368,BLANK
369,BLANK
370,BLANK
371,BLANK
372,BLANK
373,BLANK
374,BLANK
375,BLANK
376,BLANK
377,BLANK
378,BLANK
379,BLANK
380,BLANK
381,BLANK
382,BLANK
383,BLANK
384,BLANK
385,BLANK
386,BLANK
387,BLANK
388,BLANK
389,BLANK
390,BLANK
391,BLANK
392,BLANK
393,BLANK
394,BLANK
395,BLANK
396,BLANK
397,BLANK
398,BLANK
399,BLANK
400,BLANK
401,BLANK
402,BLANK
403,BLANK
404,BLANK
405,BLANK
406,BLANK
407,BLANK
408,BLANK
409,BLANK
410,BLANK
411,BLANK
412,BLANK
413,BLANK
414,BLANK
415,BLANK
416,BLANK
417,BLANK
418,BLANK
419,BLANK
420,BLANK
421,BLANK
422,BLANK
423,BLANK
424,BLANK
425,BLANK
426,BLANK
427,BLANK
428,BLANK
429,BLANK
430,BLANK
431,BLANK
432,BLANK
433,BLANK
434,BLANK
435,BLANK
436,BLANK
437,BLANK
438,BLANK
439,BLANK
440,BLANK
441,BLANK
442,BLANK
443,BLANK
444,BLANK
445,BLANK
446,BLANK
447,BLANK
448,BLANK
449,BLANK
450,BLANK
451,BLANK
452,BLANK
453,BLANK
454,BLANK
455,BLANK
456,BLANK
457,BLANK
458,BLANK
459,BLANK
460,BLANK
461,BLANK
462,BLANK
463,BLANK
464,BLANK
465,BLANK
466,BLANK
467,BLANK
468,BLANK
469,BLANK
470,BLANK
471,BLANK
472,BLANK
473,BLANK
474,BLANK
475,BLANK
476,BLANK
477,BLANK
478,BLANK
479,BLANK
480,BLANK
481,BLANK
482,BLANK
483,BLANK
484,BLANK
485,BLANK
486,BLANK
487,BLANK
488,BLANK
489,BLANK
490,BLANK
491,BLANK
492,BLANK
493,BLANK
494,BLANK
495,BLANK
496,BLANK
497,BLANK
498,BLANK
499,BLANK
500,BLANK
501,BLANK
502,BLANK
503,BLANK
504,BLANK
505,BLANK
506,BLANK
507,BLANK
508,BLANK
509,BLANK
510,BLANK
511,BLANK
512,BLANK
513,BLANK
514,BLANK
515,BLANK
516,BLANK
517,BLANK
518,BLANK
